Title	Author	DOI	Link DOI	ACM	IEEE	SCOPUS
analyzing the effect of preprocessor annotations on code clones	Schulze, S., Jürgens, E., Feigenspan, J.	10.1109/SCAM.2011.12	https://doi.org/10.1109/SCAM.2011.12			https://www.scopus.com/inward/record.url?eid=2-s2.0-82055200258&partnerID=40&md5=63000632a9d11016e7798a4f715de9db
analyzing the influence of block highlighting on beginning programmers reading behavior using eye tracking	Renske Talsma, Erik Barendsen, Sjaak Smetsers	10.1145/3442481.3442505	https://doi.org/10.1145/3442481.3442505	https://dl.acm.org/doi/10.1145/3442481.3442505		https://www.scopus.com/inward/record.url?eid=2-s2.0-85103598036&partnerID=40&md5=a701d17149d3f1f44996777ffc55e003
analyzing the pygamegui modules available in python	Kumari, R., Fancy, C.	10.1109/ICIOTA.2017.8073603	https://doi.org/10.1109/ICIOTA.2017.8073603			https://www.scopus.com/inward/record.url?eid=2-s2.0-85039933576&partnerID=40&md5=257fe8396b2fd0d449238e64f80cf722
analyzing the scalability of managed language applications with speedup stacks	Sartor, J.B., Bois, K.D., Eyerman, S., Eeckhout, L.	10.1109/ISPASS.2017.7975267	https://doi.org/10.1109/ISPASS.2017.7975267			https://www.scopus.com/inward/record.url?eid=2-s2.0-85027445122&partnerID=40&md5=f01d2c096e3ed7f3c5068049d3aece1b
analyzing the structure of java software systems by weighted kcore decomposition	Weifeng Pan, Bing Li, Jing Liu, Yutao Ma, Bo Hu	10.1016/j.future.2017.09.039	https://doi.org/10.1016/j.future.2017.09.039	https://dl.acm.org/doi/10.1016/j.future.2017.09.039		https://www.scopus.com/inward/record.url?eid=2-s2.0-85032953414&partnerID=40&md5=ce5bfece518389dc768b703d01348591
anchoring code understandability evaluations through task descriptions	M. Wyrich; L. Merz; D. Graziotin	10.1145/3524610.3527904	https://doi.org/10.1145/3524610.3527904		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796301	https://www.scopus.com/inward/record.url?eid=2-s2.0-85133156887&partnerID=40&md5=9c1be9617ab3e6a0640deb3e546d6f04
android app protection via interpretation obfuscation	Shu, J., Li, J., Zhang, Y., Gu, D.	10.1109/DASC.2014.20	https://doi.org/10.1109/DASC.2014.20			https://www.scopus.com/inward/record.url?eid=2-s2.0-84916243905&partnerID=40&md5=55c9e7ecddc4bebd7845ed1026b185d6
android repository mining for detecting publicly accessible functions missing permission checks	Hoang H. Nguyen, Lingxiao Jiang, Tho Quan	10.1109/ICPC.2017.14	https://doi.org/10.1109/ICPC.2017.14	https://dl.acm.org/doi/10.1109/ICPC.2017.14	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7961531	https://www.scopus.com/inward/record.url?eid=2-s2.0-85025129947&partnerID=40&md5=586faf57fe7ea922788b5616e47f2950
answering common questions about code	Thomas D. LaToza	10.1145/1370175.1370218	https://doi.org/10.1145/1370175.1370218	https://dl.acm.org/doi/10.1145/1370175.1370218		https://www.scopus.com/inward/record.url?eid=2-s2.0-57449112991&partnerID=40&md5=082edfdf94a34fb6c04adcc9308eb2e5
answering control flow questions about code	Thomas D. LaToza	10.1145/1449814.1449909	https://doi.org/10.1145/1449814.1449909	https://dl.acm.org/doi/10.1145/1449814.1449909		https://www.scopus.com/inward/record.url?eid=2-s2.0-63349104534&partnerID=40&md5=ef59e48ee682cd46b34e3d1788481699
answering program understanding questions on demand with taskspecific runtime information	B. Burg	10.1109/VLHCC.2013.6645268	https://doi.org/10.1109/VLHCC.2013.6645268		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6645268	https://www.scopus.com/inward/record.url?eid=2-s2.0-84891110714&partnerID=40&md5=cfc7ef58844b6c19c52a48799e76973e
ant colony optimization directed program abstraction for software bounded model checking	Xueqi, C., Hsiao, M.S.	10.1109/ICCD.2008.4751839	https://doi.org/10.1109/ICCD.2008.4751839			https://www.scopus.com/inward/record.url?eid=2-s2.0-62349115527&partnerID=40&md5=374de6717a812e524013b7aa4a8a7f05
