type	title	title-adjusted	doi	acm_url	authors	booktitle	published_date
article	Preface to the Special Issue on Program Comprehension	preface to the special issue on program comprehension	10.1007/s10664-018-9662-1	https://dl.acm.org/doi/10.1007/s10664-018-9662-1	David Lo, Alexander Serebrenik	Empirical Software Engineering (KLU-EMSE)	01 February 2019
section	Session details: Visualization for program comprehension and maintenance	session details visualization for program comprehension and maintenance	10.1145/3248921	https://dl.acm.org/doi/10.1145/3248921	Stephan Diehl	SOFTVIS '10: Proceedings of the 5th international symposium on Software visualization	25 October 2010
Article	A static analysis for program understanding and debugging	a static analysis for program understanding and debugging	10.5555/786767.786800	https://dl.acm.org/doi/10.5555/786767.786800	R. Gaugne	ASE '97: Proceedings of the 12th international conference on Automated software engineering (formerly: KBSE)	02 November 1997
Article	Program understanding with the lambda calculus	program understanding with the lambda calculus	10.5555/1625015.1625116	https://dl.acm.org/doi/10.5555/1625015.1625116	Stanley Letovsky	IJCAI'87: Proceedings of the 10th international joint conference on Artificial intelligence - Volume 1	23 August 1987
report	Progress report on program-understanding systems.	progress report on programunderstanding systems.	10.5555/892030	https://dl.acm.org/doi/book/10.5555/892030	C. C Green, Richard J. Waldinger, David R. Barstow, Robert A. Elschlager, Douglas B. Lenat, Brian P. McCune, David E. Shaw, Louis I. Steinberg		01 August 1974
Article	Applying Webmining Techniques to Execution Traces to Support the Program Comprehension Process	applying webmining techniques to execution traces to support the program comprehension process	10.1109/CSMR.2005.12	https://dl.acm.org/doi/10.1109/CSMR.2005.12	Andy Zaidman, Toon Calders, Serge Demeyer, Jan Paredaens	CSMR '05: Proceedings of the Ninth European Conference on Software Maintenance and Reengineering	21 March 2005
Article	Scalability Solutions for Program Comprehension through Dynamic Analysis	scalability solutions for program comprehension through dynamic analysis	10.5555/1116163.1116422	https://dl.acm.org/doi/10.5555/1116163.1116422	Andy Zaidman	CSMR '06: Proceedings of the Conference on Software Maintenance and Reengineering	22 March 2006
Article	Experiences in Teaching Software Evolution and Program Comprehension	experiences in teaching software evolution and program comprehension	10.5555/851042.857043	https://dl.acm.org/doi/10.5555/851042.857043	Arie van Deursen, Jean-Marie Favre, Rainer Koschke, Juergen Rilling	IWPC '03: Proceedings of the 11th IEEE International Workshop on Program Comprehension	10 May 2003
demonstration	An empirical study of blindness and program comprehension	an empirical study of blindness and program comprehension	10.1145/2889160.2891041	https://dl.acm.org/doi/10.1145/2889160.2891041	Ameer Armaly, Collin McMillan	ICSE '16: Proceedings of the 38th International Conference on Software Engineering Companion	14 May 2016
book	Symbolic Analysis as a Basis for Program Comprehension	symbolic analysis as a basis for program comprehension	10.5555/1717360	https://dl.acm.org/doi/book/10.5555/1717360	Erkki Laitila		21 June 2009
Article	A Workbench for Program Comprehension during Software Maintenance	a workbench for program comprehension during software maintenance	10.5555/525394.837843	https://dl.acm.org/doi/10.5555/525394.837843	G. Canfora, L. Mancini, M. Tortorella	WPC '96: Proceedings of the 4th International Workshop on Program Comprehension (WPC '96)	29 March 1996
article	Preface to the special issue on program comprehension	preface to the special issue on program comprehension	10.1007/s10664-012-9212-1	https://dl.acm.org/doi/10.1007/s10664-012-9212-1	Giuliano Antoniol, Keith B. Gallagher	Empirical Software Engineering (KLU-EMSE)	01 April 2013
Article	Towards evidence-supported, question-directed collaborative program comprehension	towards evidencesupported, questiondirected collaborative program comprehension	10.1145/1188966.1188969	https://dl.acm.org/doi/10.1145/1188966.1188969	Benjamin Chu, Kenny Wong	CASCON '06: Proceedings of the 2006 conference of the Center for Advanced Studies on Collaborative research	16 October 2006
Article	Hidden Dependencies in Program Comprehension and Change Propagation	hidden dependencies in program comprehension and change propagation	10.5555/876902.881279	https://dl.acm.org/doi/10.5555/876902.881279		IWPC '01: Proceedings of the 9th International Workshop on Program Comprehension	12 May 2001
Article	Source Animation as a Means of Program Comprehension	source animation as a means of program comprehension	10.5555/518049.856956	https://dl.acm.org/doi/10.5555/518049.856956	Harry M. Sneed	IWPC '00: Proceedings of the 8th International Workshop on Program Comprehension	10 June 2000
