type	title	title-adjusted	doi	acm_url	authors	booktitle	published_date
article	Program structure definition using binary relations	program structure definition using binary relations	10.1145/987352.987356	https://dl.acm.org/doi/10.1145/987352.987356	Lars Kahn	ACM SIGPLAN Notices (SIGPLAN)	01 December 1976
Article	On a measure of program structure	on a measure of program structure	10.5555/647323.721517	https://dl.acm.org/doi/10.5555/647323.721517	R. N. Chanon	Programming Symposium, Proceedings Colloque sur la Programmation	09 April 1974
research-article	Comparing trace visualizations for program comprehension through controlled experiments	comparing trace visualizations for program comprehension through controlled experiments	10.5555/2820282.2820321	https://dl.acm.org/doi/10.5555/2820282.2820321	Florian Fittkau, Santje Finke, Wilhelm Hasselbring, Jan Waller	ICPC '15: Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension	16 May 2015
proceeding	ICPC 2014: Proceedings of the 22nd International Conference on Program Comprehension	icpc 2014 proceedings of the 22nd international conference on program comprehension	10.1145/2597008	https://dl.acm.org/doi/proceedings/10.1145/2597008	Chanchal K. Roy, Andrew Begel, Leon Moonen		02 June 2014
Article	How Webmining and Coupling Metrics Improve Early Program Comprehension	how webmining and coupling metrics improve early program comprehension	10.1109/ICPC.2006.26	https://dl.acm.org/doi/10.1109/ICPC.2006.26	Andy Zaidman, Bart Du Bois, Serge Demeyer	ICPC '06: Proceedings of the 14th IEEE International Conference on Program Comprehension	14 June 2006
Article	Inference-Based and Expectation-Based Processing in Program Comprehension	inferencebased and expectationbased processing in program comprehension	10.5555/876902.881291	https://dl.acm.org/doi/10.5555/876902.881291		IWPC '01: Proceedings of the 9th International Workshop on Program Comprehension	12 May 2001
book	A connotational theory of program structure	a connotational theory of program structure	10.5555/31024	https://dl.acm.org/doi/book/10.5555/31024	James S. Royer		01 October 1987
Article	Do Dynamic Object Process Graphs Support Program Understanding? - A Controlled Experiment.	do dynamic object process graphs support program understanding a controlled experiment.	10.1109/ICPC.2008.15	https://dl.acm.org/doi/10.1109/ICPC.2008.15	Jochen Quante	ICPC '08: Proceedings of the 2008 The 16th IEEE International Conference on Program Comprehension	10 June 2008
Article	Aiding Program Comprehension by Static and Dynamic Feature Analysis	aiding program comprehension by static and dynamic feature analysis	10.1109/ICSM.2001.972777	https://dl.acm.org/doi/10.1109/ICSM.2001.972777	Thomas Eisenbarth, Rainer Koschke, Daniel Simon	ICSM '01: Proceedings of the IEEE International Conference on Software Maintenance (ICSM'01)	07 November 2001
Article	The effect of modularization and comments on program comprehension	the effect of modularization and comments on program comprehension	10.5555/800078.802534	https://dl.acm.org/doi/10.5555/800078.802534	S. N. Woodfield, H. E. Dunsmore, V. Y. Shen	ICSE '81: Proceedings of the 5th international conference on Software engineering	09 March 1981
Article	Workshop on Program Comprehension through Dynamic Analysis (PCODA '05)	workshop on program comprehension through dynamic analysis (pcoda 05)	10.1109/WCRE.2005.35	https://dl.acm.org/doi/10.1109/WCRE.2005.35	Orla Greevy, Abdelwahab Hamou-Lhadj, Andy Zaidman	WCRE '05: Proceedings of the 12th Working Conference on Reverse Engineering	07 November 2005
Article	A Brief Summary of Cognitive Patterns for Program Comprehension	a brief summary of cognitive patterns for program comprehension	10.5555/1038267.1039066	https://dl.acm.org/doi/10.5555/1038267.1039066	Adam Murray, Timothy C. Lethbridge	WCRE '04: Proceedings of the 11th Working Conference on Reverse Engineering	08 November 2004
research-article	Toward conjoint analysis of simultaneous eye-tracking and fMRI data for program-comprehension studies	toward conjoint analysis of simultaneous eyetracking and fmri data for programcomprehension studies	10.1145/3216723.3216725	https://dl.acm.org/doi/10.1145/3216723.3216725	Norman Peitek, Janet Siegmund, Chris Parnin, Sven Apel, André Brechmann	EMIP '18: Proceedings of the Workshop on Eye Movements in Programming	15 June 2018
report	A knowledge-based approach to program understanding	a knowledgebased approach to program understanding	10.5555/174749	https://dl.acm.org/doi/book/10.5555/174749	Salwa K. Abd-El-Hafiz		01 February 1994
Article	A schema-based model of program understanding	a schemabased model of program understanding	10.5555/645616.660930	https://dl.acm.org/doi/10.5555/645616.660930	Françoise Détienne	Selected papers of the 8th Interdisciplinary Workshop on Informatics and Psychology: Mental Models and Human-Computer Interaction 2	01 June 1989
article	Program understanding: challenge for the 1990's	program understanding challenge for the 1990s	10.1147/sj.282.0294	https://dl.acm.org/doi/10.1147/sj.282.0294	T. A. Corbi	IBM Systems Journal (ISYJ)	01 June 1989
research-article	An exploratory study of program comprehension strategies of procedural and object-oriented programmers	an exploratory study of program comprehension strategies of procedural and objectoriented programmers	10.1006/ijhc.2000.0423	https://dl.acm.org/doi/10.1006/ijhc.2000.0423	CYNTHIA L. CORRITORE, SUSAN WIEDENBECK	International Journal of Human-Computer Studies (IJHC)	01 January 2001
proceeding	ICPC '19: Proceedings of the 27th International Conference on Program Comprehension	icpc 19 proceedings of the 27th international conference on program comprehension	10.5555/3339076	https://dl.acm.org/doi/proceedings/10.5555/3339076	Yann-Gaël Guéhéneuc, Foutse Khomh, Federica Sarro		25 May 2019
proceeding	ICPC '17: Proceedings of the 25th International Conference on Program Comprehension	icpc 17 proceedings of the 25th international conference on program comprehension	10.5555/3101414	https://dl.acm.org/doi/proceedings/10.5555/3101414	Giuseppe Scanniello, David Lo, Alexander Serebrenik		20 May 2017
Article	User Perspectives on a Visual Aid to Program Comprehension	user perspectives on a visual aid to program comprehension	10.1109/VISSOF.2005.1684308	https://dl.acm.org/doi/10.1109/VISSOF.2005.1684308	A. Cox, M. Fisher, J. Muzzerall	VISSOFT '05: Proceedings of the 3rd IEEE International Workshop on Visualizing Software for Understanding and Analysis	25 September 2005
proceeding	IWPC '05: Proceedings of the 13th International Workshop on Program Comprehension	iwpc 05 proceedings of the 13th international workshop on program comprehension	10.5555/1058432	https://dl.acm.org/doi/proceedings/10.5555/1058432			15 May 2005
proceeding	IWPC '00: Proceedings of the 8th International Workshop on Program Comprehension	iwpc 00 proceedings of the 8th international workshop on program comprehension	10.5555/518049	https://dl.acm.org/doi/proceedings/10.5555/518049			10 June 2000
proceeding	IWPC '98: Proceedings of the 6th International Workshop on Program Comprehension	iwpc 98 proceedings of the 6th international workshop on program comprehension	10.5555/580914	https://dl.acm.org/doi/proceedings/10.5555/580914			24 June 1998
book	15th IEEE International Conference on Program Comprehension - Icpc 2007	15th ieee international conference on program comprehension icpc 2007	10.5555/1795908	https://dl.acm.org/doi/book/10.5555/1795908	K. Wong		31 March 2008
Article	Presenting Micro-Theories of Program Comprehension in Pattern Form	presenting microtheories of program comprehension in pattern form	10.1109/WPC.2005.28	https://dl.acm.org/doi/10.1109/WPC.2005.28	Adam Murray, Timothy C. Lethbridge	IWPC '05: Proceedings of the 13th International Workshop on Program Comprehension	15 May 2005
proceeding	IWPC '99: Proceedings of the 7th International Workshop on Program Comprehension	iwpc 99 proceedings of the 7th international workshop on program comprehension	10.5555/520033	https://dl.acm.org/doi/proceedings/10.5555/520033			05 May 1999
Article	Facilitating Program Comprehension via Generic Components for State Machines	facilitating program comprehension via generic components for state machines	10.5555/523511.837864	https://dl.acm.org/doi/10.5555/523511.837864	RenT R.  Kl Johannes Weidl, Georg Trausmuth, Harald Gall sch	WPC '97: Proceedings of the 5th International Workshop on Program Comprehension (WPC '97)	28 May 1997
Article	Developing Application Specific Ontology for Program Comprehension by Combining Domain Ontology with Code Ontology	developing application specific ontology for program comprehension by combining domain ontology with code ontology	10.1109/QSIC.2008.31	https://dl.acm.org/doi/10.1109/QSIC.2008.31	Hong Zhou, Feng Chen, Hongji Yang	QSIC '08: Proceedings of the 2008 The Eighth International Conference on Quality Software	12 August 2008
doctoral_thesis	A knowledge-based approach to program understanding	a knowledgebased approach to program understanding	10.5555/221202	https://dl.acm.org/doi/book/10.5555/221202	Salwa Kamal Abd-El-Hafiz		20 November 1995
book	A  Knowledge-Based Approach to Program Understanding	a knowledgebased approach to program understanding	10.5555/554280	https://dl.acm.org/doi/book/10.5555/554280	Salwa K. Abd-El-Hafiz, Victor R. Basili		01 January 1995
article	3D visualization techniques to support slicing-based program comprehension	3d visualization techniques to support slicingbased program comprehension	10.1016/j.cag.2005.03.007	https://dl.acm.org/doi/10.1016/j.cag.2005.03.007	Juergen Rilling, S. P. Mudur	Computers and Graphics (CGRS)	01 June 2005
Article	Using Conceptual Roles of Data for Enhanced Program Comprehension	using conceptual roles of data for enhanced program comprehension	10.5555/882506.885165	https://dl.acm.org/doi/10.5555/882506.885165	Y. Deng, S. Kothari	WCRE '02: Proceedings of the Ninth Working Conference on Reverse Engineering (WCRE'02)	29 October 2002
proceeding	IWPC '01: Proceedings of the 9th International Workshop on Program Comprehension	iwpc 01 proceedings of the 9th international workshop on program comprehension	10.5555/876902	https://dl.acm.org/doi/proceedings/10.5555/876902			12 May 2001
Article	An Architecture for Interoperable Program Understanding Tools	an architecture for interoperable program understanding tools	10.5555/580914.858226	https://dl.acm.org/doi/10.5555/580914.858226	S. Woods, L. O'Brien, T. Lin, K. Gallagher, A. Quilici	IWPC '98: Proceedings of the 6th International Workshop on Program Comprehension	24 June 1998
Article	Applying Plan Recognition Algorithms To Program Understanding	applying plan recognition algorithms to program understanding	10.5555/788008.788163	https://dl.acm.org/doi/10.5555/788008.788163	Alex Quilici, Qiang Yang, Steven Woods	KBSE '96: Proceedings of The 11th Knowledge-Based Software Engineering Conference	25 September 1996
report	Dependency Directed Reasoning for Complex Program Understanding	dependency directed reasoning for complex program understanding	10.5555/889481	https://dl.acm.org/doi/book/10.5555/889481	Howard E Shrobe		01 April 1979
proceeding	ICPC '20: Proceedings of the 28th International Conference on Program Comprehension	icpc 20 proceedings of the 28th international conference on program comprehension	10.1145/3387904	https://dl.acm.org/doi/proceedings/10.1145/3387904			13 July 2020
research-article	An empirical study on program comprehension with reactive programming	an empirical study on program comprehension with reactive programming	10.1145/2635868.2635895	https://dl.acm.org/doi/10.1145/2635868.2635895	Guido Salvaneschi, Sven Amann, Sebastian Proksch, Mira Mezini	FSE 2014: Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering	11 November 2014
Article	Query Technologies and Applications for Program Comprehension (QTAPC 2008)	query technologies and applications for program comprehension (qtapc 2008)	10.1109/ICPC.2008.27	https://dl.acm.org/doi/10.1109/ICPC.2008.27	Mathieu Verbaere, Michael W. Godfrey, Tudor Girba	ICPC '08: Proceedings of the 2008 The 16th IEEE International Conference on Program Comprehension	10 June 2008
proceeding	IWPC '02: Proceedings of the 10th International Workshop on Program Comprehension	iwpc 02 proceedings of the 10th international workshop on program comprehension	10.5555/580131	https://dl.acm.org/doi/proceedings/10.5555/580131			27 June 2002
Article	Separating architectural concerns to ease program understanding	separating architectural concerns to ease program understanding	10.1145/1083125.1083132	https://dl.acm.org/doi/10.1145/1083125.1083132	Vladimir Jakobac, Nenad Medvidovic, Alexander Egyed	MACS '05: Proceedings of the 2005 workshop on Modeling and analysis of concerns in software	15 May 2005
Article	Using an integrated toolset for program understanding	using an integrated toolset for program understanding	10.5555/781915.781974	https://dl.acm.org/doi/10.5555/781915.781974	Michael Whitney, Morris Bernstein, Renato De Mori, Kostas Kontogiannis, Brain Corrie, Hausi Müller, Scott Tilley, Ettore Merlo, John Mylopoulos, Kenny Wong, J. Howard Johnson, James McDaniel, Martin Stanley	CASCON '95: Proceedings of the 1995 conference of the Centre for Advanced Studies on Collaborative research	07 November 1995
Article	Towards an integrated toolset for program understanding	towards an integrated toolset for program understanding	10.5555/782185.782233	https://dl.acm.org/doi/10.5555/782185.782233	John Mylopoulos, Martin Stanley, Kenny Wong, Morris Bernstein, Renato De Mori, Graham Ewart, Kostas Kontogiannis, Ettore Merlo, Hausi Müller, Scott Tilley, Marijana Tomic	CASCON '94: Proceedings of the 1994 conference of the Centre for Advanced Studies on Collaborative research	31 October 1994
Article	Managing views in a program understanding tool	managing views in a program understanding tool	10.5555/962289.962311	https://dl.acm.org/doi/10.5555/962289.962311	Kenny Wong	CASCON '93: Proceedings of the 1993 conference of the Centre for Advanced Studies on Collaborative research: software engineering - Volume 1	24 October 1993
Article	Program understanding as an expectation-driven activity	program understanding as an expectationdriven activity	10.5555/92449.92452	https://dl.acm.org/doi/10.5555/92449.92452	F. Detienne, E. Soloway	Proceedings of the third international conference on human-computer interaction on Designing and using human-computer interfaces and knowledge based systems (2nd ed.)	01 September 1989
Article	On Selecting Software Visualization Tools for Program Understanding in an Industrial Context	on selecting software visualization tools for program understanding in an industrial context	10.5555/580131.856987	https://dl.acm.org/doi/10.5555/580131.856987	Scott Tilley, Shihong Huang	IWPC '02: Proceedings of the 10th International Workshop on Program Comprehension	27 June 2002
Article	Do visualizations improve program comprehensibility? experiments with control structure diagrams for Java	do visualizations improve program comprehensibility experiments with control structure diagrams for java	10.1145/330908.331890	https://dl.acm.org/doi/10.1145/330908.331890	T. Dean Hendrix, James H. Cross, Saeed Maghsoodloo, Matthew L. McKinney	SIGCSE '00: Proceedings of the thirty-first SIGCSE technical symposium on Computer science education	01 March 2000
doctoral_thesis	Semantics-enabled program understanding and knowledge reuse	semanticsenabled program understanding and knowledge reuse	10.5555/1970619	https://dl.acm.org/doi/book/10.5555/1970619	Awny M. Alnusair, Tian Zhao		01 January 2010
article	Program understanding and the concept assignment problem	program understanding and the concept assignment problem	10.1145/175290.175300	https://dl.acm.org/doi/10.1145/175290.175300	Ted J. Biggerstaff, Bharat G. Mitbander, Dallas E. Webster	Communications of the ACM (CACM)	01 May 1994
Article	The concept assignment problem in program understanding	the concept assignment problem in program understanding	10.5555/257572.257679	https://dl.acm.org/doi/10.5555/257572.257679	Ted J. Biggerstaff, Bharat G. Mitbander, Dallas Webster	ICSE '93: Proceedings of the 15th international conference on Software Engineering	21 May 1993
book	Fifth International Workshop on Program Comprehension: Iwpc '97; Proceedings, March 28-30, 1997, Dearborn, Michigan, U. S. A.	fifth international workshop on program comprehension iwpc 97; proceedings, march 2830, 1997, dearborn, michigan, u. s. a.	10.5555/548718	https://dl.acm.org/doi/book/10.5555/548718	International Workshop on Program Comprehension,  IEEE Computer Society Staff,  Louisiana Board of Regents Staff,  Wayne State University Staff		01 January 1997
book	Proceedings, 9th International Workshop on Program Comprehension: Iwpc 2001: 12-13 May 2001, Toronto, Canada	proceedings, 9th international workshop on program comprehension iwpc 2001 1213 may 2001, toronto, canada	10.5555/580576	https://dl.acm.org/doi/book/10.5555/580576			01 January 2001
Article	The Influence of Coordination on Program Structure	the influence of coordination on program structure	10.5555/938433.938457	https://dl.acm.org/doi/10.5555/938433.938457	Farhad Arbab	HICSS '97: Proceedings of the 30th Hawaii International Conference on System Sciences: Software Technology and Architecture - Volume 1	03 January 1997
article	Classifying data dependences in the presence of pointers for program comprehension, testing, and debugging	classifying data dependences in the presence of pointers for program comprehension, testing, and debugging	10.1145/1018210.1018212	https://dl.acm.org/doi/10.1145/1018210.1018212	Alessandro Orso, Saurabh Sinha, Mary Jean Harrold	ACM Transactions on Software Engineering and Methodology (TOSEM) (TOSEM)	01 April 2004
report	PROGRAM STRUCTURE IN A MULTI-ACCESS COMPUTER	program structure in a multiaccess computer	10.5555/889741	https://dl.acm.org/doi/book/10.5555/889741	J. B. Dennis		01 May 1964
article	Improving student programming skills by developing program comprehension abilities: panel discussion	improving student programming skills by developing program comprehension abilities panel discussion	10.5555/1040196.1040227	https://dl.acm.org/doi/10.5555/1040196.1040227	Simon Gray, Stephen Edwards, Gary Lewandowski, Anil Shende	Journal of Computing Sciences in Colleges (JCSC)	01 February 2005
chapter	Recursive query processing based on program structure	recursive query processing based on program structure	10.5555/120621.120647	https://dl.acm.org/doi/10.5555/120621.120647	Wenyu Lu, Dik Lun Lee	Methodologies for intelligent systems, 5	01 May 1991
article	Eliminating go to's while preserving program structure	eliminating go tos while preserving program structure	10.1145/48014.48021	https://dl.acm.org/doi/10.1145/48014.48021	Lyle Ramshaw	Journal of the ACM (JACM) (JACM)	01 October 1988
Article	Program structure analysis in a global optimization	program structure analysis in a global optimization	10.5555/646796.705011	https://dl.acm.org/doi/10.5555/646796.705011	Victor N. Kasyanov, Mark B. Trakhtenbrot	Symposium on Methods of Algorithmic Language Implementation	10 September 1975
Article	An Approach for Detecting Execution Phases of a System for the Purpose of Program Comprehension	an approach for detecting execution phases of a system for the purpose of program comprehension	10.1109/SERA.2010.34	https://dl.acm.org/doi/10.1109/SERA.2010.34	Heidar Pirzadeh, Akanksha Agarwal, Abdelwahab Hamou-Lhadj	SERA '10: Proceedings of the 2010 Eighth ACIS International Conference on Software Engineering Research, Management and Applications	24 May 2010
Article	Using Sex Differences to Link Spatial Cognition and Program Comprehension	using sex differences to link spatial cognition and program comprehension	10.1109/ICSM.2006.72	https://dl.acm.org/doi/10.1109/ICSM.2006.72	Maryanne Fisher, Anthony Cox, Lin Zhao	ICSM '06: Proceedings of the 22nd IEEE International Conference on Software Maintenance	24 September 2006
Article	Facilitating Program Comprehension by Mining Association Rules from Source Code	facilitating program comprehension by mining association rules from source code	10.5555/851042.857045	https://dl.acm.org/doi/10.5555/851042.857045	Christos Tjortjis, Loukas Sinos, Paul Layzell	IWPC '03: Proceedings of the 11th IEEE International Workshop on Program Comprehension	10 May 2003
Article	An Application of Fuzzy Reasoning to Support Automated Program Comprehension	an application of fuzzy reasoning to support automated program comprehension	10.5555/520033.858254	https://dl.acm.org/doi/10.5555/520033.858254	I. Burnstein, F. Saner	IWPC '99: Proceedings of the 7th International Workshop on Program Comprehension	05 May 1999
doctoral_thesis	Investigation of dynamic slicing and its application in program comprehension	investigation of dynamic slicing and its application in program comprehension	10.5555/928043	https://dl.acm.org/doi/book/10.5555/928043	Juergen E. Rilling, Bogdan Korel		01 January 1998
research-article	The effects of naming style and expertise on program comprehension	the effects of naming style and expertise on program comprehension	10.1006/ijhc.1994.1036	https://dl.acm.org/doi/10.1006/ijhc.1994.1036	Barbee E. Teasley	International Journal of Human-Computer Studies (IJHC)	01 May 1994
research-article	Language-independent information flow tracking engine for program comprehension tools	languageindependent information flow tracking engine for program comprehension tools	10.1109/ICPC.2017.5	https://dl.acm.org/doi/10.1109/ICPC.2017.5	Mohammad Reza Azadmanesh, Matthias Hauswirth, Michael L. Van De Vanter	ICPC '17: Proceedings of the 25th International Conference on Program Comprehension	20 May 2017
Article	Individual Differences in Program Comprehension Strategies in Unfamiliar Programming Systems	individual differences in program comprehension strategies in unfamiliar programming systems	10.5555/851042.857036	https://dl.acm.org/doi/10.5555/851042.857036	Andrew Jensen Ko, Bob Uttl	IWPC '03: Proceedings of the 11th IEEE International Workshop on Program Comprehension	10 May 2003
article	On evaluating the layout of UML diagrams for program comprehension	on evaluating the layout of uml diagrams for program comprehension	10.1007/s11219-006-9218-2	https://dl.acm.org/doi/10.1007/s11219-006-9218-2	Kenny Wong, Dabo Sun	Software Quality Journal (KLU-SQJO)	01 September 2006
Article	Using evolutionary annotations from change logs to enhance program comprehension	using evolutionary annotations from change logs to enhance program comprehension	10.1145/1137983.1138020	https://dl.acm.org/doi/10.1145/1137983.1138020	Daniel M. German, Peter C. Rigby, Margaret-Anne Storey	MSR '06: Proceedings of the 2006 international workshop on Mining software repositories	22 May 2006
Article	Using a behavioral theory of program comprehension in software engineering	using a behavioral theory of program comprehension in software engineering	10.5555/800099.803210	https://dl.acm.org/doi/10.5555/800099.803210	Ruven Brooks	ICSE '78: Proceedings of the 3rd international conference on Software engineering	10 May 1978
doctoral_thesis	Exploiting Program Structure for Scaling Probabilistic Programming	exploiting program structure for scaling probabilistic programming	10.5555/AAI28546182	https://dl.acm.org/doi/book/10.5555/AAI28546182	Steven J. Holtzen, Van den Broeck, Guy, Millstein, Todd, Palsberg, Jens, Halperin, Eran		01 January 2021
Article	Teaching program design through program structure maps	teaching program design through program structure maps	10.1145/800126.809579	https://dl.acm.org/doi/10.1145/800126.809579	Stuart A. Varden	SIGCSE '79: Proceedings of the tenth SIGCSE technical symposium on Computer science education	01 January 1979
article	On a proposed measure of program structure	on a proposed measure of program structure	10.1145/987413.987417	https://dl.acm.org/doi/10.1145/987413.987417	Amos N. Gileadi, Henry F. Ledgard	ACM SIGPLAN Notices (SIGPLAN)	01 May 1974
Article	Program understanding needs during corrective maintenance of large scale software	program understanding needs during corrective maintenance of large scale software	10.5555/645979.675993	https://dl.acm.org/doi/10.5555/645979.675993	Anneliese von Mayrhauser, A. Marie Vans	COMPSAC '97: Proceedings of the 21st International Computer Software and Applications Conference	11 August 1997
Article	Visualization of binary component-based program structure with component functional size	visualization of binary componentbased program structure with component functional size	10.5555/1973598.1973774	https://dl.acm.org/doi/10.5555/1973598.1973774	Hironori Washizaki, Satoru Takano, Yoshiaki Fukazawa	ACOS'06: Proceedings of the 5th WSEAS international conference on Applied computer science	16 April 2006
research-article	Thinking aloud about confusing code: a qualitative investigation of program comprehension and atoms of confusion	thinking aloud about confusing code a qualitative investigation of program comprehension and atoms of confusion	10.1145/3368089.3409714	https://dl.acm.org/doi/10.1145/3368089.3409714	Dan Gopstein, Anne-Laure Fayard, Sven Apel, Justin Cappos	ESEC/FSE 2020: Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering	08 November 2020
Article	Automatic source code transformation for GPUs based on program comprehension	automatic source code transformation for gpus based on program comprehension	10.1007/978-3-642-29740-3_22	https://dl.acm.org/doi/10.1007/978-3-642-29740-3_22	Pasquale Cantiello, Beniamino Di Martino	Euro-Par'11: Proceedings of the 2011 international conference on Parallel Processing - Volume 2	29 August 2011
proceeding	IWPC '04: Proceedings of the 12th IEEE International Workshop on Program Comprehension	iwpc 04 proceedings of the 12th ieee international workshop on program comprehension	10.5555/998682	https://dl.acm.org/doi/proceedings/10.5555/998682			24 June 2004
proceeding	IWPC '03: Proceedings of the 11th IEEE International Workshop on Program Comprehension	iwpc 03 proceedings of the 11th ieee international workshop on program comprehension	10.5555/851042	https://dl.acm.org/doi/proceedings/10.5555/851042			10 May 2003
doctoral_thesis	Two-categories and program structure: data types, refinement calculi, and predicate transformers	twocategories and program structure data types, refinement calculi, and predicate transformers	10.5555/143301	https://dl.acm.org/doi/book/10.5555/143301	David Andrew Naumann		01 January 1992
Article	Analysing FORTRAN codes for program understanding and reengineering	analysing fortran codes for program understanding and reengineering	10.5555/1123451.1123461	https://dl.acm.org/doi/10.5555/1123451.1123461	Ronald Finkbine, Warren O. Mason	IEA/AIE'1997: Proceedings of the 10th international conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems	10 June 1997
Article	A Case Study of Domain-based Program Understanding	a case study of domainbased program understanding	10.5555/523511.837863	https://dl.acm.org/doi/10.5555/523511.837863	Richard Clayton, Spencer Rugaber, Lyman Taylor, Linda Wills	WPC '97: Proceedings of the 5th International Workshop on Program Comprehension (WPC '97)	28 May 1997
doctoral_thesis	Support for program understanding during maintenance via chunking	support for program understanding during maintenance via chunking	10.5555/163784	https://dl.acm.org/doi/book/10.5555/163784	Eun Man Choi		01 January 1993
Article	Meta-evaluation as a tool for program understanding	metaevaluation as a tool for program understanding	10.5555/1624435.1624524	https://dl.acm.org/doi/10.5555/1624435.1624524	Robert Balzer, Neil Goldman, David Wile	IJCAI'77: Proceedings of the 5th international joint conference on Artificial intelligence - Volume 1	22 August 1977
Article	Impact of the visitor pattern on program comprehension and maintenance	impact of the visitor pattern on program comprehension and maintenance	10.1109/ESEM.2009.5316015	https://dl.acm.org/doi/10.1109/ESEM.2009.5316015	Sebastien Jeanmart, Yann-Gael Gueheneuc, Houari Sahraoui, Naji Habra	ESEM '09: Proceedings of the 2009 3rd International Symposium on Empirical Software Engineering and Measurement	15 October 2009
proceeding	ICPC '07: Proceedings of the 15th IEEE International Conference on Program Comprehension	icpc 07 proceedings of the 15th ieee international conference on program comprehension	10.5555/1270394	https://dl.acm.org/doi/proceedings/10.5555/1270394			26 June 2007
proceeding	ICPC '06: Proceedings of the 14th IEEE International Conference on Program Comprehension	icpc 06 proceedings of the 14th ieee international conference on program comprehension	10.5555/1135772	https://dl.acm.org/doi/proceedings/10.5555/1135772			14 June 2006
abstract	Structured source retrieval for improving softwaresearch during program comprehension tasks	structured source retrieval for improving softwaresearch during program comprehension tasks	10.1145/2660252.2660253	https://dl.acm.org/doi/10.1145/2660252.2660253	Brian Eddy	SPLASH '14: Proceedings of the companion publication of the 2014 ACM SIGPLAN conference on Systems, Programming, and Applications: Software for Humanity	14 October 2014
Article	A visualization tool recording historical data of program comprehension tasks	a visualization tool recording historical data of program comprehension tasks	10.1145/2597008.2597802	https://dl.acm.org/doi/10.1145/2597008.2597802	Katsuhisa Maruyama, Takayuki Omori, Shinpei Hayashi	ICPC 2014: Proceedings of the 22nd International Conference on Program Comprehension	02 June 2014
Article	Using Feature Modeling for Program Comprehension and Software Architecture Recovery	using feature modeling for program comprehension and software architecture recovery	10.5555/998673.999311	https://dl.acm.org/doi/10.5555/998673.999311		ECBS '04: Proceedings of the 11th IEEE International Conference and Workshop on Engineering of Computer-Based Systems	24 May 2004
correction	Correction to: Preface to the special issue on program comprehension	correction to preface to the special issue on program comprehension	10.1007/s10664-021-10030-4	https://dl.acm.org/doi/10.1007/s10664-021-10030-4	Janet Siegmund, Chanchal K. Roy	Empirical Software Engineering (KLU-EMSE)	01 January 2022
research-article	Measuring Program Comprehension: A Large-Scale Field Study with Professionals	measuring program comprehension a largescale field study with professionals	10.1109/TSE.2017.2734091	https://dl.acm.org/doi/10.1109/TSE.2017.2734091	Xin Xia, Lingfeng Bao, David Lo, Zhenchang Xing, Ahmed E. Hassan, Shanping Li	IEEE Transactions on Software Engineering (ISOF)	01 October 2018
doctoral_thesis	An empirical evaluation of dependence analysis in parallel program comprehension	an empirical evaluation of dependence analysis in parallel program comprehension	10.5555/240431	https://dl.acm.org/doi/book/10.5555/240431	Douglas M. Monk		03 October 1996
article	Conditional statements, looping constructs, and program comprehension: an experiments study	conditional statements, looping constructs, and program comprehension an experiments study	10.1016/S0020-7373%2888%2980052-X	https://dl.acm.org/doi/10.1016/S0020-7373%2888%2980052-X	E. R. Iselin	International Journal of Man-Machine Studies (IJMM)	03 January 1988
research-article	A novel test case generation method based on program structure diagram	a novel test case generation method based on program structure diagram	10.1504/ijguc.2019.100873	https://dl.acm.org/doi/10.1504/ijguc.2019.100873	Xianghu Wu, Mingcheng Qu, Yongchao Tao, Guannan Wang, Ziyu Dong	International Journal of Grid and Utility Computing (IJGUC)	01 January 2019
research-article	An Empirical Investigation of the Influence of a Type of Side Effects on Program Comprehension	an empirical investigation of the influence of a type of side effects on program comprehension	10.1109/TSE.2003.1214329	https://dl.acm.org/doi/10.1109/TSE.2003.1214329	J. J. Dolado, M. Harman, M. C. Otero, L. Hu	IEEE Transactions on Software Engineering (ISOF)	01 July 2003
Article	Concept analysis—a new framework for program understanding	concept analysis—a new framework for program understanding	10.1145/277631.277634	https://dl.acm.org/doi/10.1145/277631.277634	Gregor Snelting	PASTE '98: Proceedings of the 1998 ACM SIGPLAN-SIGSOFT workshop on Program analysis for software tools and engineering	01 July 1998
chapter	Program structure versus knowledge structure: the impact of education on program debugging skill	program structure versus knowledge structure the impact of education on program debugging skill	10.5555/207743.207751	https://dl.acm.org/doi/10.5555/207743.207751	Dan Stone, Eleanor Jordan, Sandra Dewitz	Human factors in information systems	01 July 1995
article	Dynamic analysis for reverse engineering and program understanding	dynamic analysis for reverse engineering and program understanding	10.1145/568235.568237	https://dl.acm.org/doi/10.1145/568235.568237	Eleni Stroulia, Tarja Systä	ACM SIGAPP Applied Computing Review (SIGAPP)	01 April 2002
Article	Program Understanding Using Program Slivers—An Experience Report	program understanding using program slivers—an experience report	10.5555/645545.655894	https://dl.acm.org/doi/10.5555/645545.655894	A. Gupta	ICSM '97: Proceedings of the International Conference on Software Maintenance	01 October 1997
