type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,1457084,Bradley L. Vinz and Letha H. Etzkorn,,,,Improving Program Comprehension by Combining Code Understanding with Comment Understanding,813--825,,13,"Code understanding, Comment understanding, Heuristic approaches, Knowledge-based system, Program comprehension",10.1016/j.knosys.2008.03.033,Know.-Based Syst.,"December, 2008",21,8,,December,2008,0950-7051,,,,,,Elsevier Science Publishers B. V.,"Amsterdam, The Netherlands, The Netherlands"
article,856959,Francoise  Balmas and Harald  Wertz and Janice  Singer,,,,Understanding Program Understanding,256--,,,"working session, program understanding, research group",,,,,,,,2000,,Proceedings of the 8th International Workshop on Program Comprehension,IWPC '00,,0-7695-0656-9,,IEEE Computer Society,"Washington, DC, USA"
article,837854,Scott R. Tilley and Dennis B. Smith and Santanu  Paul,,,,Towards a Framework for Program Understanding,19--,,,"classification framework, program understanding, reverse engineering",,,,,,,,1996,,Proceedings of the 4th International Workshop on Program Comprehension (WPC '96),WPC '96,,0-8186-7283-8,,IEEE Computer Society,"Washington, DC, USA"
article,881294,,,,,Simplicity: A Key Engineering Concept for Program Understanding,98--,,,"program understanding, knowledge recovery, programming styles, program partitioning",,,,,,,,2001,,Proceedings of the 9th International Workshop on Program Comprehension,IWPC '01,,,,IEEE Computer Society,"Washington, DC, USA"
article,837841,Alex  Quilici and Steven  Woods,,,,Toward a Constraint-Satisfaction Framework for Evaluating Program-Understanding Algorithms,55--,,,"Program understanding, Constraint Satisfaction, Algorithm evaluation",,,,,,,,1996,,Proceedings of the 4th International Workshop on Program Comprehension (WPC '96),WPC '96,,0-8186-7283-8,,IEEE Computer Society,"Washington, DC, USA"
article,857042,Shihong  Huang and Scott  Tilley,,,,Workshop on Graphical Documentation for Programmers: Assessing the Efficacy of UML Diagrams for Program Understanding,281--,,,"program understanding, graphical documentation, UML, assessment",,,,,,,,2003,,Proceedings of the 11th IEEE International Workshop on Program Comprehension,IWPC '03,,0-7695-1883-4,,IEEE Computer Society,"Washington, DC, USA"
article,856987,Scott  Tilley and Shihong  Huang,,,,On Selecting Software Visualization Tools for Program Understanding in an Industrial Context,285--,,,"software visualization, program understanding, tool selection, industry",,,,,,,,2002,,Proceedings of the 10th International Workshop on Program Comprehension,IWPC '02,,0-7695-1495-2,,IEEE Computer Society,"Washington, DC, USA"
article,2708015,Roberto  Minelli and Andrea  Mocci and Michele  Lanza and Takashi  Kobayashi,,,,Quantifying Program Comprehension with Interaction Data,276--285,,10,"Program Comprehension, Program Understanding, Quantification, Interaction data, IDE",10.1109/QSIC.2014.11,,,,,,,2014,,Proceedings of the 2014 14th International Conference on Quality Software,QSIC '14,,978-1-4799-7198-5,,IEEE Computer Society,"Washington, DC, USA"
article,1080584,Thomas  Vestdam and Kurt  N&#248;rmark,,,,"Maintaining Program Understanding: Issues, Tools, and Future Directions",303--320,,18,"contemporary documentation tools, elucidative programming, internal documentation, program comprehension, program understanding",,Nordic J. of Computing,September 2004,11,3,,September,2004,1236-6064,,,,,,Publishing Association Nordic Journal of Computing,Finland
article,836934,S.  Woods and Qiang  Yang,,,,Program Understanding As Constraint Satisfaction,314--,,,"complex computation, constraint handling, constraint satisfaction, heuristic programming, heuristic techniques, high-level programming language, legacy code, mappings, partial global picture, performance evaluation, problem domain knowledge transformation, program plan template library, program translation, program understanding, reverse engineering, search algorithms, search efficiency, search problems, software libraries, software reusability, software reuse, source code understanding",,,,,,,,1995,,Proceedings of the Second Working Conference on Reverse Engineering,WCRE '95,,0-8186-7111-4,,IEEE Computer Society,"Washington, DC, USA"
article,837862,A. von Mayrhauser and A. M. Vans,,,,On the Role of Hypotheses During Opportunistic Understanding While Porting Large Scale Code,68--,,,"Program Comprehension, Cognition Models, Porting, Large-Scale Program Understanding",,,,,,,,1996,,Proceedings of the 4th International Workshop on Program Comprehension (WPC '96),WPC '96,,0-8186-7283-8,,IEEE Computer Society,"Washington, DC, USA"
article,1189493,Teresa M. Shaft and Iris  Vessey,,,,The Relevance of Application Domain Knowledge: Characterizing the Computer Program Comprehension Process,51--78,,28,"application domain, computer program comprehension, metacognition, program understanding, system maintenance",10.1080/07421222.1998.11518196,J. Manage. Inf. Syst.,June 1998,15,1,,June,1998,0742-1222,,,,,,"M. E. Sharpe, Inc.","Armonk, NY, USA"
article,836998,M.-A. D. Storey and K.  Wong and H. A. Muller,,,,How Do Program Understanding Tools Affect How Programmers Understand Programs,12--,,,"Fisheye views, program comprehension, program understanding tools, reverse engineering, software maintenance, software visualization, user study.",,,,,,,,1997,,Proceedings of the Fourth Working Conference on Reverse Engineering (WCRE '97),WCRE '97,,0-8186-8162-4,,IEEE Computer Society,"Washington, DC, USA"
article,837852,Kenny  Wong,,,,On Inserting Program Understanding Technology into the Software Change Process,90--,,,"program understanding, reverse engineering, software process, metaprocess, technology insertion",,,,,,,,1996,,Proceedings of the 4th International Workshop on Program Comprehension (WPC '96),WPC '96,,0-8186-7283-8,,IEEE Computer Society,"Washington, DC, USA"
article,334874,M.-A. D. Storey and K.  Wong and H. A. M&#252;ller,,,,How Do Program Understanding Tools Affect How Programmers Understand Programs?,183--207,,25,"program comprehension, program understanding tools, reverse engineeering, software maintenance, software visualization, user study",10.1016/S0167-6423(99)00036-2,Sci. Comput. Program.,March 2000,36,2-3,,March,2000,0167-6423,,,,,,"Elsevier North-Holland, Inc.","Amsterdam, The Netherlands, The Netherlands"
article,837859,Rene R. Kloesch and Roland T. Mittermeir,,,,Improving Program Understanding by Unfolding Layers of Interacting Patterns,208--,,,"reverse engineering, program understanding, rearchitecturing, software patterns, software layers",,,,,,,,1996,,Proceedings of the 4th International Workshop on Program Comprehension (WPC '96),WPC '96,,0-8186-7283-8,,IEEE Computer Society,"Washington, DC, USA"
article,656027,Giuliano  Antoniol and Roberto  Fiutem and G.  Lutteri and Paolo  Tonella and S.  Zanfei and Ettore  Merlo,,,,Program Understanding and Maintenance with the CANTO Environment,72--,,,"Maintenance environment, program understanding environment.",,,,,,,,1997,,Proceedings of the International Conference on Software Maintenance,ICSM '97,,0-8186-8013-X,,IEEE Computer Society,"Washington, DC, USA"
article,2158920,Toma&#382;  Kosar and Marjan  Mernik and Jeffrey C. Carver,,,,Program Comprehension of Domain-specific and General-purpose Languages: Comparison Using a Family of Experiments,276--304,,29,"Controlled experiments, Domain-specific languages, General-purpose languages, Language evaluations, Program comprehension, Program understanding",10.1007/s10664-011-9172-x,Empirical Softw. Engg.,June      2012,17,3,,June,2012,1382-3256,,,,,,Kluwer Academic Publishers,"Hingham, MA, USA"
article,1847950,Ahmad  Taherkhani,,,,Recognizing Sorting Algorithms with the C4.5 Decision Tree Classifier,72--75,,4,"Algorithm recognition, program comprehension, program understanding, roles of variables, C4.5 algorithm",10.1109/ICPC.2010.11,,,,,,,2010,,Proceedings of the 2010 IEEE 18th International Conference on Program Comprehension,ICPC '10,,978-0-7695-4113-6,,IEEE Computer Society,"Washington, DC, USA"
article,592013,Alex  Quilici and Qiang  Yang and Steven  Woods,,,,Applying Plan Recognition Algorithms To Program Understanding,347--372,,26,"constraint satisfaction, performance evaluation, program understanding",10.1023/A:1008608825390,Automated Software Engg.,July 1998,5,3,,July,1998,0928-8910,,,,,,Kluwer Academic Publishers,"Norwell, MA, USA"
article,2745837,Yangchao  Liu and Xiaobing  Sun and Yucong  Duan,,,,Analyzing Program Readability Based on WordNet,27:1--27:2,27,2,"WordNet, program comprehension, program readability",10.1145/2745802.2745837,,,,,,,2015,,Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering,EASE '15,,978-1-4503-3350-4,"Nanjing, China",ACM,"New York, NY, USA"
article,1297167,Tim  Trese and Scott  Tilley,,,,Documenting Software Systems with Views V: Towards Visual Documentation of Design Patterns As an Aid to Program Understanding,103--112,,10,"design patterns, documentation, program understanding",10.1145/1297144.1297167,,,,,,,2007,,Proceedings of the 25th Annual ACM International Conference on Design of Communication,SIGDOC '07,,978-1-59593-588-5,"El Paso, Texas, USA",ACM,"New York, NY, USA"
article,3167298,Javier  Belmonte and Philippe  Dugerdil,,,,Program Understanding Using Ontologies and Dynamic Analysis,1552--1559,,8,"dynamic analysis, ontology, program understanding, reverse engineering",10.1145/3167132.3167298,,,,,,,2018,,Proceedings of the 33rd Annual ACM Symposium on Applied Computing,SAC '18,,978-1-4503-5191-1,"Pau, France",ACM,"New York, NY, USA"
article,837860,T.  Kunz,,,,Evaluating Process Clusters to Support Automatic Program Understanding,198--,,,"application design, application execution, automatic program understanding, distributed application, distributed debugging, distributed processing, interprocess communication, process cluster evaluation, program debugging, program development, program diagnostics, prototypical tools, quantitative evaluation, reverse engineering, software design, software maintenance, software tools, static source analysis",,,,,,,,1996,,Proceedings of the 4th International Workshop on Program Comprehension (WPC '96),WPC '96,,0-8186-7283-8,,IEEE Computer Society,"Washington, DC, USA"
article,591968,Alex  Quilici and Steven  Woods,,,,Toward A Constraint-Satisfaction Frameworkfor Evaluating Program-Understanding Algorithms,271--289,,19,"Program understanding, constraint satisfaction, performance evaluation",10.1023/A:1008674909165,Automated Software Engg.,July 1997,4,3,,July,1997,0928-8910,,,,,,Kluwer Academic Publishers,"Norwell, MA, USA"
article,4309,W. L. Johnson and Elliot  Soloway,,,,PROUST: Knowledge-Based Program Understanding,267--275,,9,"Artificial inteiligence, program debugging, program understanding, program understanding, Artificial inteiligence, program debugging, programmer training, programmer training",10.1109/TSE.1985.232210,IEEE Trans. Softw. Eng.,March 1985,11,3,,March,1985,0098-5589,,,,,,IEEE Press,"Piscataway, NJ, USA"
article,856999,Arie  van Deursen and Joost  Visser,,,,Building Program Understanding Tools Using Visitor Combinators,137--,,,"Program analysis, program comprehension, visitor design pattern, software visualization",,,,,,,,2002,,Proceedings of the 10th International Workshop on Program Comprehension,IWPC '02,,0-7695-1495-2,,IEEE Computer Society,"Washington, DC, USA"
article,3155617,Simone  Scalabrino and Gabriele  Bavota and Christopher  Vendome and Mario  Linares-V&#225;squez and Denys  Poshyvanyk and Rocco  Oliveto,,,,Automatically Assessing Code Understandability: How Far Are We?,417--427,,11,"Code understandability, Empirical study, Negative result, Software metrics",,,,,,,,2017,,Proceedings of the 32Nd IEEE/ACM International Conference on Automated Software Engineering,ASE 2017,,978-1-5386-2684-9,"Urbana-Champaign, IL, USA",IEEE Press,"Piscataway, NJ, USA"
article,998924,,,,,Temporal Event Analysis and Program Understanding,4--,,,"Program Understanding, Event Sequence Analysis, Static Analysis, Comments",,,,,,,,1995,,Proceedings of the 19th International Computer Software and Applications Conference,COMPSAC '95,,No ISBN - 1,,IEEE Computer Society,"Washington, DC, USA"
article,656035,Salwa K. Abd-El-Hafiz,,,,Effects of Decomposition Techniques on Knowledge-Based Program Understanding,21--,,,"Knowledge base, loops, program decomposition, program understanding, reverse engineering, slicing",,,,,,,,1997,,Proceedings of the International Conference on Software Maintenance,ICSM '97,,0-8186-8013-X,,IEEE Computer Society,"Washington, DC, USA"
article,831323,A. S. Bhullar and L. G. Birta,,,,PUMP: A Program Understanding Tool for MODSIM Programs,121--,,,"Program understanding, modeling and simulation, object-oriented programming, MODSIM",,,,,,,,2000,,Proceedings of the 33rd Annual Simulation Symposium,SS '00,,0-7695-0598-8,,IEEE Computer Society,"Washington, DC, USA"
article,655875,Salwa K. Abd-El-Hafiz,,,,Evaluation of a Knowledge-Based Approach to Program Understanding,275--,,,"First order predicate logic, knowledge-base, loops, program understanding",,,,,,,,1996,,Proceedings of the 1996 International Conference on Software Maintenance,ICSM '96,,0-8186-7677-9,,IEEE Computer Society,"Washington, DC, USA"
article,1409724,Hina  Shah and Carsten  G&#246;rg and Mary Jean Harrold,,,,Visualization of Exception Handling Constructs to Support Program Understanding,19--28,,10,"Eclipse plugin, exception handling, interactive visualization, multiple views, program understanding",10.1145/1409720.1409724,,,,,,,2008,,Proceedings of the 4th ACM Symposium on Software Visualization,SoftVis '08,,978-1-60558-112-5,"Ammersee, Germany",ACM,"New York, NY, USA"
article,1879222,Edward E. Aftandilian and Sean  Kelley and Connor  Gramazio and Nathan  Ricci and Sara L. Su and Samuel Z. Guyer,,,,Heapviz: Interactive Heap Visualization for Program Understanding and Debugging,53--62,,10,"debugging, graphs, interactive visualization, program understanding, software visualization",10.1145/1879211.1879222,,,,,,,2010,,Proceedings of the 5th International Symposium on Software Visualization,SOFTVIS '10,,978-1-4503-0028-5,"Salt Lake City, Utah, USA",ACM,"New York, NY, USA"
article,1438592,Jochen  Quante,,,,Do Dynamic Object Process Graphs Support Program Understanding? - A Controlled Experiment.,73--82,,10,"controlled experiment, program comprehension, dynamic analysis, software maintenance",10.1109/ICPC.2008.15,,,,,,,2008,,Proceedings of the 2008 The 16th IEEE International Conference on Program Comprehension,ICPC '08,,978-0-7695-3176-2,,IEEE Computer Society,"Washington, DC, USA"
article,3101423,Shulamyt  Ajami and Yonatan  Woodbridge and Dror G. Feitelson,,,,"Syntax, Predicates, Idioms: What Really Affects Code Complexity?",66--76,,11,"code complexity, gamification, program understanding",10.1109/ICPC.2017.39,,,,,,,2017,,Proceedings of the 25th International Conference on Program Comprehension,ICPC '17,,978-1-5386-0535-6,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA"
article,1847944,Mehdi  Amoui and Sen  Li and Edson A. Oliveira Jr. and Ladan  Tahvildari,,,,Towards Developing a Meta-model for Comprehending Software Adaptability,56--57,,2,"program understanding, adaptability, meta-model",10.1109/ICPC.2010.50,,,,,,,2010,,Proceedings of the 2010 IEEE 18th International Conference on Program Comprehension,ICPC '10,,978-0-7695-4113-6,,IEEE Computer Society,"Washington, DC, USA"
article,856993,M.  Di Penta and S.  Gradara and G.  Antoniol,,,,Traceability Recovery in RAD Software Systems,207--,,,"traceability, RAD, COTS, program understanding",,,,,,,,2002,,Proceedings of the 10th International Workshop on Program Comprehension,IWPC '02,,0-7695-1495-2,,IEEE Computer Society,"Washington, DC, USA"
article,3174106,Jane  Hoffswell and Arvind  Satyanarayan and Jeffrey  Heer,,,,Augmenting Code with In Situ Visualizations to Aid Program Understanding,532:1--532:12,532,12,"code augmentation, debugging, program behavior, program understanding, visualization",10.1145/3173574.3174106,,,,,,,2018,,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,CHI '18,,978-1-4503-5620-6,"Montreal QC, Canada",ACM,"New York, NY, USA"
article,3339228,Eliane S. Wiese and Anna N. Rafferty and Armando  Fox,,,,"Linking Code Readability, Structure, and Comprehension Among Novices: It's Complicated",84--94,,11,"code readability, computer science education, novice code comprehension",10.1109/ICSE-SEET.2019.00017,,,,,,,2019,,Proceedings of the 41st International Conference on Software Engineering: Software Engineering Education and Training,ICSE-SEET '19,,,"Montreal, Quebec, Canada",IEEE Press,"Piscataway, NJ, USA"
article,3069437,Patrick  Greussay,,,,Program Understanding by Reduction Sets,136--142,,7,"RAINBOW system, VLISP, automatic program understanding, multiple representations, program debugging, program transformation, symbolic interpretation",,,,,,,,1980,,Proceedings of the 1980 AISB Conference on Artificial Intelligence,AISB'80,,,Amsterdam,IOS Press,"Amsterdam, The Netherlands, The Netherlands"
article,944908,Scott  Tilley and Shihong  Huang,,,,A Qualitative Assessment of the Efficacy of UML Diagrams As a Form of Graphical Documentation in Aiding Program Understanding,184--191,,8,"Unified Modeling Language (UML), assessment, graphical documentation, program understanding",10.1145/944868.944908,,,,,,,2003,,Proceedings of the 21st Annual International Conference on Documentation,SIGDOC '03,,1-58113-696-X,"San Francisco, CA, USA",ACM,"New York, NY, USA"
article,2498845,Mark  Marron and Cesar  Sanchez and Zhendong  Su and Manuel  Fahndrich,,,,Abstracting Runtime Heaps for Program Understanding,774--786,,13,"Abstracts,Concrete,Shape,Runtime,Arrays,Computational modeling,program understanding,Heap structure,runtime analysis,memory profiling",10.1109/TSE.2012.69,IEEE Trans. Softw. Eng.,June 2013,39,6,,June,2013,0098-5589,,,,,,IEEE Press,"Piscataway, NJ, USA"
article,1847937,Dirk  Beyer and Ashgan  Fararooy,,,,CheckDep: A Tool for Tracking Software Dependencies,42--43,,2,"Dependency Analysis, Software Structure, Refactoring, Program Understanding",10.1109/ICPC.2010.51,,,,,,,2010,,Proceedings of the 2010 IEEE 18th International Conference on Program Comprehension,ICPC '10,,978-0-7695-4113-6,,IEEE Computer Society,"Washington, DC, USA"
article,1623342,D.  Goossens,,,,The Conceptual Calculus for Automatic Program Understanding,992--997,,6,"clausal form of predicate logic, concept, equation solving, equilibration, induction, program meaning, program understanding, unification",,,,,,,,1981,,Proceedings of the 7th International Joint Conference on Artificial Intelligence - Volume 2,IJCAI'81,,,"Vancouver, BC, Canada",Morgan Kaufmann Publishers Inc.,"San Francisco, CA, USA"
article,1784868,Aline  Vasconcelos and Cl&#225;udia  Werner,,,,Architecture Recovery and Evaluation Aiming at Program Understanding and Reuse,72--89,,18,"architecture evaluation, architecture recovery, data mining, dynamic analysis, program understanding, software inspection, software reuse",,,,,,,,2007,,"Proceedings of the Quality of Software Architectures 3rd International Conference on Software Architectures, Components, and Applications",QoSA'07,,"3-540-77617-6, 978-3-540-77617-8","Medford, MA",Springer-Verlag,"Berlin, Heidelberg"
article,1847952,Dirk  Beyer and Ashgan  Fararooy,,,,A Simple and Effective Measure for Complex Low-Level Dependencies,80--83,,4,"Software Measure, Dependency Analysis, Refactoring, Program Understanding",10.1109/ICPC.2010.49,,,,,,,2010,,Proceedings of the 2010 IEEE 18th International Conference on Program Comprehension,ICPC '10,,978-0-7695-4113-6,,IEEE Computer Society,"Washington, DC, USA"
article,1847936,Dirk  Beyer and Ashgan  Fararooy,,,,DepDigger: A Tool for Detecting Complex Low-Level Dependencies,40--41,,2,"Dependency Analysis, Software Structure, Refactoring, Program Understanding",10.1109/ICPC.2010.52,,,,,,,2010,,Proceedings of the 2010 IEEE 18th International Conference on Program Comprehension,ICPC '10,,978-0-7695-4113-6,,IEEE Computer Society,"Washington, DC, USA"
article,836978,Alyson A. Reeves and Judith D. Schlesinger,,,,JACKAL: A Hierarchical Approach to Program Understanding,84--,,,"reverse engineering, JACKAL, hierarchical approach, program understanding, cliches, abstract language, cliche matching task, high level, matching algorithms, AL representation",,,,,,,,1997,,Proceedings of the Fourth Working Conference on Reverse Engineering (WCRE '97),WCRE '97,,0-8186-8162-4,,IEEE Computer Society,"Washington, DC, USA"
article,3266948,Aline  Vasconcelos and Cl&#225;udia  Werner,,,,Architecture Recovery and Evaluation Aiming at Program Understanding and Reuse,72--89,,18,"Architecture recovery, architecture evaluation, data mining, dynamic analysis, program understanding, software inspection, software reuse",10.1007/978-3-540-77619-2_5,,,,,,,2007,,"Third International Conference on Quality of Software Architectures on Software Architectures, Components, and Applications - Volume 4880",QoSA 2007,,978-3-540-77617-8,"Medford, MA, USA",Springer-Verlag,"Berlin, Heidelberg"
article,782200,Graham  Ewart and Marijana  Tomic,,,,Applying Program Understanding Technology to IBM Product Documentation,15--,,,"abstract syntax tree, bookmaster documentation, information structure, program understanding, refine, reverse engineering, rigi",,,,,,,,1994,,Proceedings of the 1994 Conference of the Centre for Advanced Studies on Collaborative Research,CASCON '94,,,"Toronto, Ontario, Canada",IBM Press,
article,250763,David N. Chin and Alex  Quilici,,,,DECODE: A Co-operative Program Understanding Environment,3--33,,31,"co-operative environment, design extraction, object-orientated, program understanding, reverse engineering",10.1002/(SICI)1096-908X(199601)8:1<3::AID-SMR122>3.3.CO;2-9,Journal of Software Maintenance,Jan.-Feb. 1996,8,1,,January,1996,1040-550X,,,,,,"John Wiley &amp; Sons, Inc.","New York, NY, USA"
article,379671,Markus  Mock and Manuvir  Das and Craig  Chambers and Susan J. Eggers,,,,Dynamic Points-to Sets: A Comparison with Static Analyses and Potential Applications in Program Understanding and Optimization,66--72,,7,"alias analysis, calpa, dynamic analysis, points-to analysis, program instrumentation, program optimization, program understanding",10.1145/379605.379671,,,,,,,2001,,Proceedings of the 2001 ACM SIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,PASTE '01,,1-58113-413-4,"Snowbird, Utah, USA",ACM,"New York, NY, USA"
article,836961,S. K. Abd-El-Hafiz,,,,Evaluation of a Knowledge-based Approach to Program Understanding,259--,,,"Pascal programs, first order predicate logic annotations, knowledge based systems, knowledge-based approach, plans, program loops, program understanding, system usability",,,,,,,,1996,,Proceedings of the 3rd Working Conference on Reverse Engineering (WCRE '96),WCRE '96,,0-8186-7674-4,,IEEE Computer Society,"Washington, DC, USA"
article,3196342,Rodrigo Magalh&#227;es dos Santos and Marco Aur&#233;lio Gerosa,,,,Impacts of Coding Practices on Readability,277--285,,9,"code comprehension, code readability, coding best practices, programming style, software developers' opinions survey",10.1145/3196321.3196342,,,,,,,2018,,Proceedings of the 26th Conference on Program Comprehension,ICPC '18,,978-1-4503-5714-2,"Gothenburg, Sweden",ACM,"New York, NY, USA"
article,856971,Tobias  Kuipers and Leon  Moonen,,,,Types and Concept Analysis for Legacy Systems,221--,,,"software maintenance, program understanding, program analysis, type inference, concept analysis",,,,,,,,2000,,Proceedings of the 8th International Workshop on Program Comprehension,IWPC '00,,0-7695-0656-9,,IEEE Computer Society,"Washington, DC, USA"
article,857007,Leon  Moonen,,,,Lightweight Impact Analysis Using Island Grammars,219--,,,"Island grammars, parser generation, impact analysis, program understanding, software exploration",,,,,,,,2002,,Proceedings of the 10th International Workshop on Program Comprehension,IWPC '02,,0-7695-1495-2,,IEEE Computer Society,"Washington, DC, USA"
article,1850615,Raymond P. L. Buse and Westley R. Weimer,,,,Learning a Metric for Code Readability,546--558,,13,"FindBugs., Software readability, Software readability, program understanding, machine learning, software maintenance, code metrics, FindBugs., code metrics, machine learning, program understanding, software maintenance",10.1109/TSE.2009.70,IEEE Trans. Softw. Eng.,July 2010,36,4,,July,2010,0098-5589,,,,,,IEEE Press,"Piscataway, NJ, USA"
article,2597803,Toshinori  Matsumura and Takashi  Ishio and Yu  Kashima and Katsuro  Inoue,,,,Repeatedly-executed-method Viewer for Efficient Visualization of Execution Paths and States in Java,253--257,,5,"Java, dynamic analysis, program understanding, record-and-replay",10.1145/2597008.2597803,,,,,,,2014,,Proceedings of the 22Nd International Conference on Program Comprehension,ICPC 2014,,978-1-4503-2879-1,"Hyderabad, India",ACM,"New York, NY, USA"
article,231235,A.  von Mayrhauser and A. M. Vans,,,,Identification of Dynamic Comprehension Processes During Large Scale Maintenance,424--437,,14,"Program understanding, maintenance, large-scale code, comprehension processes, comprehension models.",10.1109/32.508315,IEEE Trans. Softw. Eng.,June 1996,22,6,,June,1996,0098-5589,,,,,,IEEE Press,"Piscataway, NJ, USA"
article,380562,G.  Antoniol and B.  Caprile and A.  Potrich and P.  Tonella,,,,Design-code Traceability Recovery: Selecting the Basic Linkage Properties,213--234,,22,"object-oriented programming, program understanding, software evolution, software maintenance, traceability",10.1016/S0167-6423(01)00016-8,Sci. Comput. Program.,July 2001,40,2-3,,July,2001,0167-6423,,,,,,"Elsevier North-Holland, Inc.","Amsterdam, The Netherlands, The Netherlands"
article,2863011,Roberto  Minelli and Andrea  Mocci and Michele  Lanza,,,,I Know What You Did Last Summer - An Investigation of How Developers Spend Their Time,25--35,,11,"interaction data, empirical study, program understanding, user interface",10.1109/ICPC.2015.12,,,,,,,2015,,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,ICPC '15,,978-1-4673-8159-8,,IEEE Computer Society,"Washington, DC, USA"
article,881286,E .. Merlo,,,,A Method to Re-Organize Legacy Systems via Concept Analysis,281--,,,"architectural restructuring, dependency removals, program understanding, concept analysis",,,,,,,,2001,,Proceedings of the 9th International Workshop on Program Comprehension,IWPC '01,,,,IEEE Computer Society,"Washington, DC, USA"
article,2982206,Stephanie  Ludi and Jamie  Simpson and Wil  Merchant,,,,Exploration of the Use of Auditory Cues in Code Comprehension and Navigation for Individuals with Visual Impairments in a Visual Programming Environment,279--280,,2,"accessibility, audio cues, block-based programming, program understanding, visually impaired",10.1145/2982142.2982206,,,,,,,2016,,Proceedings of the 18th International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS '16,,978-1-4503-4124-0,"Reno, Nevada, USA",ACM,"New York, NY, USA"
article,786825,C. A. Welty,,,,Augmenting Abstract Syntax Trees for Program Understanding,126--,,,"abstract syntax trees, automated reasoning, code-level knowledge representation, discovery, documentation, information delocalization, low-level searches, program understanding, reverse engineering, software information systems, software maintenance, source code",,,,,,,,1997,,Proceedings of the 12th International Conference on Automated Software Engineering (Formerly: KBSE),ASE '97,,0-8186-7961-1,,IEEE Computer Society,"Washington, DC, USA"
article,786800,R.  Gaugne,,,,A Static Analysis for Program Understanding and Debugging,297--,,,"C subset, assumptions, automatic verification, circular structures, hypothetical assertions, program debugging, program understanding, recursive data structures, reverse engineering, static assertions, static pointer analysis technique, user-defined assertions",,,,,,,,1997,,Proceedings of the 12th International Conference on Automated Software Engineering (Formerly: KBSE),ASE '97,,0-8186-7961-1,,IEEE Computer Society,"Washington, DC, USA"
article,227731,Steven  Woods and Qiang  Yang,,,,The Program Understanding Problem: Analysis and a Heuristic Approach,6--15,,10,"CSPs, NP hard, complex source code, computational complexity, conceptual models, constraint handling, constraint propagation, constraint satisfaction problems, formal complexity results, heuristic approach, heuristic solutions, problem solving model, program understanding problem, reverse engineering, search algorithms, search problems",,,,,,,,1996,,Proceedings of the 18th International Conference on Software Engineering,ICSE '96,,0-8186-7246-3,"Berlin, Germany",IEEE Computer Society,"Washington, DC, USA"
article,675993,Anneliese von Mayrhauser and A. Marie Vans,,,,Program Understanding Needs During Corrective Maintenance of Large Scale Software,630--637,,8,"corrective maintenance, information needs, large scale software, productivity, professional software maintenance engineers, program understanding needs, reverse engineering, software tool, software understanding field study",,,,,,,,1997,,Proceedings of the 21st International Computer Software and Applications Conference,COMPSAC '97,,0-8186-8105-5,,IEEE Computer Society,"Washington, DC, USA"
article,1117701,Vineet  Sinha and David  Karger and Rob  Miller,,,,Relo: Helping Users Manage Context During Interactive Exploratory Visualization of Large Codebases,21--25,,5,"large software systems, program comprehension, program understanding, software visualization",10.1145/1117696.1117701,,,,,,,2005,,Proceedings of the 2005 OOPSLA Workshop on Eclipse Technology eXchange,eclipse '05,,1-59593-342-5,"San Diego, California",ACM,"New York, NY, USA"
article,1352170,Ronald J. Leach and Legand L. Burge and Harry N. Keeling,,,,Can Students Reengineer?,102--106,,5,"program comprehension, program understanding, reengineering, software engineering, software engineering education",10.1145/1352135.1352170,,,,,,,2008,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA"
article,1352170,Ronald J. Leach and Legand L. Burge and Harry N. Keeling,,,,Can Students Reengineer?,102--106,,5,"program comprehension, program understanding, reengineering, software engineering, software engineering education",10.1145/1352322.1352170,SIGCSE Bull.,March 2008,40,1,,March,2008,0097-8418,,,,,,ACM,"New York, NY, USA"
article,3196332,Andrea  Schankin and Annika  Berger and Daniel V. Holt and Johannes C. Hofmeister and Till  Riedel and Michael  Beigl,,,,Descriptive Compound Identifier Names Improve Source Code Comprehension,31--40,,10,"Java developers, identifier names, program comprehension, software quality",10.1145/3196321.3196332,,,,,,,2018,,Proceedings of the 26th Conference on Program Comprehension,ICPC '18,,978-1-4503-5714-2,"Gothenburg, Sweden",ACM,"New York, NY, USA"
article,2597797,Takayuki  Suzuki and Kazunori  Sakamoto and Fuyuki  Ishikawa and Shinichi  Honiden,,,,An Approach for Evaluating and Suggesting Method Names Using N-gram Models,271--274,,4,"Software maintenance, method name comprehensibility, n-gram models, source code understanding",10.1145/2597008.2597797,,,,,,,2014,,Proceedings of the 22Nd International Conference on Program Comprehension,ICPC 2014,,978-1-4503-2879-1,"Hyderabad, India",ACM,"New York, NY, USA"
