type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,1824850,Stacy K. Lukins and Nicholas A. Kraft and Letha H. Etzkorn,,,,Bug Localization Using Latent Dirichlet Allocation,972--990,,19,"Bug localization, Information retrieval, Latent Dirichlet allocation, Program comprehension",10.1016/j.infsof.2010.04.002,Inf. Softw. Technol.,"September, 2010",52,9,,September,2010,0950-5849,,,,,,Butterworth-Heinemann,"Newton, MA, USA"
article,1056033,Brian A. Malloy and James F. Power,,,,Exploiting UML Dynamic Object Modeling for the Visualization of C++ Programs,105--114,,10,"aspect oriented programming, program comprehension, sequence diagram, unified modeling language",10.1145/1056018.1056033,,,,,,,2005,,Proceedings of the 2005 ACM Symposium on Software Visualization,SoftVis '05,,1-59593-073-6,"St. Louis, Missouri",ACM,"New York, NY, USA"
article,1655876,Ying  Zou and Jin  Guo and King Chun Foo and Maokeng  Hung,,,,Recovering Business Processes from Business Applications,315--348,,34,"business application, business process recovery, program comprehension, static analysis",10.1002/smr.v21:5,J. Softw. Maint. Evol.,September 2009,21,5,,September,2009,1532-060X,,,,,,"John Wiley &amp; Sons, Inc.","New York, NY, USA"
article,2593826,Pavan Kumar  Chittimalli and Ravindra  Naik,,,,Variable Provenance in Software Systems,9--13,,5,"Business Rules, Data Dictionary, Program Analysis, Program Comprehension, Provenance",10.1145/2593822.2593826,,,,,,,2014,,Proceedings of the 4th International Workshop on Recommendation Systems for Software Engineering,RSSE 2014,,978-1-4503-2845-6,"Hyderabad, India",ACM,"New York, NY, USA"
article,1151593,Carsten  Schulte and Jens  Bennedsen,,,,What Do Teachers Teach in Introductory Programming?,17--28,,12,"CS1, OO programming, course design, object interaction, program comprehension",10.1145/1151588.1151593,,,,,,,2006,,Proceedings of the Second International Workshop on Computing Education Research,ICER '06,,1-59593-494-4,"Canterbury, United Kingdom",ACM,"New York, NY, USA"
article,3155613,Mat&#250;&#353;  Sul&#237;r and Jaroslav  Porub&#228;n,,,,RuntimeSearch: Ctrl+F for a Running Program,388--393,,6,"concept location, debugger, dynamic analysis, program comprehension, text search",,,,,,,,2017,,Proceedings of the 32Nd IEEE/ACM International Conference on Automated Software Engineering,ASE 2017,,978-1-5386-2684-9,"Urbana-Champaign, IL, USA",IEEE Press,"Piscataway, NJ, USA"
article,1806829,Thomas D. LaToza and Brad A. Myers,,,,Developers Ask Reachability Questions,185--194,,10,"code navigation, developer questions, empirical study, program comprehension, software maintenance",10.1145/1806799.1806829,,,,,,,2010,,Proceedings of the 32Nd ACM/IEEE International Conference on Software Engineering - Volume 1,ICSE '10,,978-1-60558-719-6,"Cape Town, South Africa",ACM,"New York, NY, USA"
article,952920,Mark  Harman and David  Binkley and Sebastian  Danicic,,,,Amorphous Program Slicing,45--64,,20,"program comprehension, program dependence graph, program slicing, program transformation",10.1016/S0164-1212(02)00135-8,J. Syst. Softw.,15 October 2003,68,1,,October,2003,0164-1212,,,,,,Elsevier Science Inc.,"New York, NY, USA"
article,1116403,Mircea  Lungu and Michele  Lanza and Tudor  Girba,,,,Package Patterns for Visual Architecture Recovery,185--196,,12,"Software exploration, architecture recovery, reverse engineering, program comprehension, visualization",,,,,,,,2006,,Proceedings of the Conference on Software Maintenance and Reengineering,CSMR '06,,0-7695-2536-9,,IEEE Computer Society,"Washington, DC, USA"
article,3159499,Cruz  Izu and Claudio  Mirolo and Amali  Weerasinghe,,,,Novice Programmers' Reasoning About Reversing Conditional Statements,646--651,,6,"novice programmers, program comprehension, program state, reversibility, solo taxonomy",10.1145/3159450.3159499,,,,,,,2018,,Proceedings of the 49th ACM Technical Symposium on Computer Science Education,SIGCSE '18,,978-1-4503-5103-4,"Baltimore, Maryland, USA",ACM,"New York, NY, USA"
article,2254643,Michele  Risi and Giuseppe  Scanniello,,,,MetricAttitude: A Visualization Tool for the Reverse Engineering of Object Oriented Software,449--456,,8,"metrics, program comprehension, reverse engineering, software maintenance, software visualization",10.1145/2254556.2254643,,,,,,,2012,,Proceedings of the International Working Conference on Advanced Visual Interfaces,AVI '12,,978-1-4503-1287-5,"Capri Island, Italy",ACM,"New York, NY, USA"
article,1397433,Venkat N. Gudivada and Jagadeesh  Nandigam and Jay  Bhuyan,,,,A Conceptual Framework for Application Comprehension,483--488,,6,"Application comprehension, Program comprehension, Bloom's taxonomy, Open Source, Eclipse.",10.1109/ITNG.2008.1,,,,,,,2008,,Proceedings of the Fifth International Conference on Information Technology: New Generations,ITNG '08,,978-0-7695-3099-4,,IEEE Computer Society,"Washington, DC, USA"
article,1448048,Anthony  Cleve and Jean-Luc  Hainaut,,,,Dynamic Analysis of SQL Statements for Data-Intensive Applications Reverse Engineering,192--196,,5,"Dynamic analysis, SQL, aspects, data reverse engineering, program comprehension",10.1109/WCRE.2008.38,,,,,,,2008,,Proceedings of the 2008 15th Working Conference on Reverse Engineering,WCRE '08,,978-0-7695-3429-9,,IEEE Computer Society,"Washington, DC, USA"
